"","company","ROI5","ROI5_SPY","ROI10","ROI10_SPY"
"1","COST",1.36544911167026,1.36733782622914,2.43388891345854,1.60824109603656
"2","CSCO",11.4555337524176,1.80286431431715,13.4812174437625,1.73447155109894
"3","KEY",1.69822437969753,1.92840318229384,2.45068553676145,1.93197287160201
"4","UNM",0.907478903085442,1.92840318229384,-0.308469949848981,1.93197287160201
"5","MSFT",10.8490575854076,2.09679563385884,6.95197329805614,1.87607943864468
"6","UNH",0.333261284215428,2.38973395436548,4.42647060969186,1.96717338538982
"7","LUV",1.77272268536999,2.38973395436548,2.24638968651442,1.96717338538982
"8","MU",3.56689014649497,2.04212020098117,0.408803420464928,1.80665805053531
"9","BSX",0.817073170731707,1.96252551650516,5.44292682926829,1.86662458602802
"10","AMAT",12.5778027856727,2.18911228168322,3.95015700685703,1.79535461647757
"11","BK",4.90651982992022,2.24620518008098,3.61348355098619,1.74594442154339
"12","ALL",0.661600067292518,1.87833133705185,3.70024947606452,1.54129974742111
"13","CMA",1.32908293138207,1.3305055500754,2.22031972871258,1.41623493705218
"14","EFX",0.500069331110453,0.207782416336948,1.55843822551191,0.979824483509044
"15","CINF",-0.0660678159856496,-0.00389478594561085,0.222685131609062,0.768517493408626
"16","COF",0.186505706650971,-0.0835363849166037,-0.00637465256459879,0.308569444296516
"17","RF",0.192513519123799,0.0391989911088674,-0.521310009253167,0.471434640372627
"18","AES",-0.585205441363006,0.0848266252308825,-0.427397297741793,0.300407785070917
"19","CCL",-0.013388622840058,-0.0295978226642487,-0.338296417294541,-0.151246913840066
"20","AFL",0.653963439903714,-0.0732725967230834,0.594294883244204,-0.174516759386361
"21","NTAP",0.62734086620438,-0.0752896214061613,0.497184217626558,-0.171339437656451
"22","BBY",0.178336001330387,-0.0943038078220387,0.244964860410123,-0.183487128297603
"23","VMC",0.0966247483216188,-0.105654117726417,0.123293573161656,-0.204502657272651
"24","ADI",0.336161729380059,-0.0839431125173223,0.110996641875949,-0.0282609258898835
"25","CTXS",-0.504722615073936,-0.0876243932764394,-0.198142035808256,-0.0586339503083224
"26","TIF",0.0352556909078435,-0.112723678921898,0.513497602729933,-0.0991161305606683
"27","DVN",0.998029784242774,-0.130310862558241,1.12295184471442,-0.162425364136228
"28","EOG",2.50388804479574,-0.0768439886316653,3.98902299537361,0.00390781759866685
"29","CTAS",0.144147498439505,0.12595565964937,-0.162626615843963,0.262808743003794
"30","ZION",0.506046047805959,0.101788433363126,-0.523918607728526,0.263420413455865
"31","ABC",0.420707715957101,0.253947800053506,1.72176430083762,0.295263483135751
"32","NVDA",0.35395325409956,0.340900976270247,-0.141837472837405,0.323854368472793
"33","SPG",2.31788268861447,0.658060457896532,5.65097964716306,0.641432874575542
"34","ANTM",1.47493871409061,0.972061886553938,0.710910091380246,0.93818144482971
"35","TRV",0.855936672510758,0.653831795898493,1.67925005364934,0.799339975907283
"36","DGX",0.910450148333517,0.798480604050199,1.16842334835543,0.923125783323884
"37","AIV",0.417219546244965,0.684388570913414,1.0110729543644,1.27096171057638
"38","PLD",1.26526214110722,0.39290258735033,1.17602998453787,1.08284983934026
"39","BIIB",0.324822723404255,-0.0588284181668317,5.6978725106383,1.05083028761435
"40","ETFC",-0.906632489368185,-0.222589064050913,-0.826667749884064,1.02516799923812
"41","MYL",-0.389616400917983,-0.174593084828671,1.13868200358608,1.00756719644229
"42","GILD",1.79790934359806,-0.0942764143840187,9.19148550325421,1.13912858311089
"43","STZ",-0.47993302790695,-0.0482959100426236,2.8899911697754,1.1279590696057
"44","PSA",0.731852014842214,-0.0248625821910872,3.47604972806087,1.08508334200511
"45","AMZN",2.42163397248854,0.0624384503995547,12.8295118382659,1.04669381460605
"46","EL",1.56864485970565,0.110443173678345,4.79119493805742,0.940806977523004
"47","VRSN",0.5542596134088,0.128464323319783,2.72601299775149,0.85181046199927
"48","KIM",-0.40296744191747,0.131512101170834,0.19148949441345,0.941800177316474
"49","CME",-0.40212292733088,0.024644361962559,0.541659036308684,1.11772560327889
"50","FIS",0.129826193466363,-0.00173784284397991,2.79699980877664,0.931552120230298
"51","CBRE",-0.490246242404861,-0.00173784284397991,-0.114486696514231,0.931552120230298
"52","CTSH",0.676404862864352,-0.0347059472773871,1.81548042535834,0.919711280955941
"53","AVB",0.222503591177261,0.0134865342530171,0.967687997837622,0.970117713112602
"54","RL",0.869719267844985,0.0178338471183787,0.00434729260342634,0.936768888865274
"55","CHRW",0.454955376562695,0.099992285238859,1.00224910587684,1.11576170700702
"56","HST",-0.297488956692547,0.107169533981875,-0.0638978104228341,1.06893108778147
"57","AIZ",-0.2497217211007,0.044409937854263,1.04943365328518,1.00467211254128
"58","AKAM",-0.422993929311479,-0.0381195145213814,-0.00824018033666516,0.947956888449668
"59","MCHP",0.164134378256567,0.0990616689054048,2.41281066992422,1.08304243741496
"60","ICE",-0.113429837396295,0.0478834498560667,1.33237598313764,1.01761406653743
"61","EXPE",0.179683138278432,0.0437021422082359,2.21930375016318,1.01865710618153
"62","EXPD",-0.29080534301887,0.0207799965725471,0.334027801589198,1.00928363601719
"63","GME",-0.502117621554941,0.0649592392888774,-0.579026115255007,1.20611808484348
"64","RRC",0.290524278860972,0.10023231548538,-0.673337862162174,1.25389481020442
"65","MA",1.16981746496038,0.494212255597297,6.83222663954485,1.74579675459453
"66","DVA",1.08433318117576,0.482792751828323,1.51674132557713,1.73001411745917
"67","IVZ",0.424809305817512,0.435340466130027,0.383491564211361,1.7575414021908
"68","CF",0.330906592780596,0.415420391191154,1.04744050992464,1.77266386960164
"69","PXD",2.28710750962004,0.587529308991335,2.12416556127166,2.00785775751337
"70","FLS",1.80208827560238,0.684534014914452,1.64900795898048,2.20418643870571
"71","NDAQ",0.126010254657298,1.15526735676812,1.96203466583871,2.72953218109773
"72","WEC",1.27218318024608,1.02185958417343,3.48354472500204,2.43551580506631
"73","SJM",2.18140905002662,1.17162152066302,2.52573438627638,2.72199086509227
"74","PBCT",-0.0124480923049938,1.17901849907096,0.319898441240494,2.66807960364636
"75","WYNN",4.322592944952,1.3049213673804,2.70501840459251,2.83436126201073
"76","XRAY",0.700321205948653,1.3049213673804,0.303754702452224,2.83436126201073
"77","FLIR",-0.0514143047057491,1.18560602951218,0.505576523926895,2.30065239918326
"78","WELL",1.00551819993691,1.4034213212765,2.47424309829813,2.96195371911901
"79","ORLY",3.18861406522755,1.50532055200002,10.1239225452537,3.19108117873082
"80","FTI",2.21417358649539,1.27807694123145,0.367065959708659,2.66031353797143
"81","WDC",2.67291739199489,1.36178964209712,1.29035479088259,2.91349907498247
"82","PWR",0.535870232052959,1.36178964209712,0.71539237508288,2.91349907498247
"83","FMC",1.83326549447645,1.19657139760738,3.5275503266023,2.57406679687007
"84","BKNG",5.38226744186047,1.09854865675394,10.6981974767442,2.5028489532778
"85","ROP",2.09886629941419,1.05394573064807,6.09937632193597,2.50452775428518
"86","NRG",0.0643576155312918,1.08179486354773,0.716072777130155,2.71475211819981
"87","QEP",-0.391509699916732,1.20828099993172,-0.956603086038654,2.65386198524589
"88","JCI",1.36935218436381,1.06487691451043,2.34106010081338,2.98688509613498
